k = 1, l = 10, w_size = 5, step = 2
pigeon, start, score
Horspath/H27, 30, 5.8288
Horspath/H27, 32, 5.98343
Horspath/H27, 34, 5.50977
Horspath/H27, 36, 6.46027
Horspath/H30, 0, 13.3072
Horspath/H30, 2, 11.4695
Horspath/H30, 4, 8.55642
Horspath/H30, 6, 6.63794
Horspath/H30, 8, 5.61111
Horspath/H30, 10, 4.99156
Horspath/H30, 12, 7.24747
Horspath/H30, 14, 7.24808
Horspath/H30, 16, 10.1465
Horspath/H30, 18, 11.3151
Horspath/H30, 20, 9.81206
Horspath/H30, 22, 11.7786
Horspath/H30, 24, 7.93506
Horspath/H30, 26, 6.24424
Horspath/H30, 28, 5.79572
Horspath/H30, 30, 5.28269
Horspath/H30, 32, 6.96462
Horspath/H30, 34, 960.943
Horspath/H35, 0, 154.141
Horspath/H35, 2, 14.6333
Horspath/H35, 4, 8.20806
Horspath/H35, 6, 7.31745
Horspath/H35, 8, 7.57024
Horspath/H35, 10, 6.28008
Horspath/H35, 12, 5.14409
Horspath/H35, 14, 6.01776
Horspath/H35, 16, 177.311
Horspath/H35, 18, 187.125
Horspath/H35, 20, 142.054
Horspath/H35, 22, 13.1101
Horspath/H35, 24, 6.3977
Horspath/H35, 26, 7.54997
Horspath/H35, 28, 7.20923
Horspath/H35, 30, 6.66841
Horspath/H35, 32, 4.56732
Horspath/H35, 34, 5.53902
Horspath/H38, 0, 209.196
Horspath/H38, 2, 20.3933
Horspath/H38, 4, 6.74981
Horspath/H38, 6, 6.11837
Horspath/H38, 8, 6.86046
Horspath/H38, 10, 10.697
Horspath/H38, 12, 8.486
Horspath/H38, 14, 5.43166
Horspath/H38, 16, 6.43667
Horspath/H38, 18, 112.913
Horspath/H38, 20, 129.865
Horspath/H38, 22, 19.1361
Horspath/H38, 24, 6.45745
Horspath/H38, 26, 1518.22
Horspath/H38, 28, 1488.28
Horspath/H38, 30, 1593.52
Horspath/H38, 32, 3003.87
Horspath/H38, 34, 2979.73
Horspath/H38, 36, 703.477
Horspath/H41, 0, 28.0765
Horspath/H41, 2, 26.1383
Horspath/H41, 4, 15.6178
Horspath/H41, 6, 10.8119
Horspath/H41, 8, 16.1707
Horspath/H41, 10, 12.4159
Horspath/H41, 12, 11.0334
Horspath/H41, 14, 8.25856
Horspath/H41, 16, 9.20119
Horspath/H41, 18, 558.924
Horspath/H41, 20, 609.369
Horspath/H41, 22, 24.8387
Horspath/H41, 24, 14.466
Horspath/H41, 26, 11.1039
Horspath/H41, 28, 751.653
Horspath/H41, 30, 747.029
Horspath/H41, 32, 3033.49
Horspath/H41, 34, 7.44563
Horspath/H42, 0, 85.5763
Horspath/H42, 2, 26.1079
Horspath/H42, 4, 17.0548
Horspath/H42, 6, 11.8536
Horspath/H42, 8, 16.2861
Horspath/H42, 10, 27.7781
Horspath/H42, 12, 14.2544
Horspath/H42, 14, 14.4795
Horspath/H42, 16, 145.429
Horspath/H42, 18, 132.484
Horspath/H42, 20, 95.8524
Horspath/H42, 22, 23.2051
Horspath/H42, 24, 15.904
Horspath/H42, 26, 9.15469
Horspath/H42, 28, 16.3146
Horspath/H42, 30, 29.236
Horspath/H42, 32, 12.1243
Horspath/H42, 34, 13.5844
Horspath/H71, 0, 58.43
Horspath/H71, 2, 11.8919
Horspath/H71, 4, 11.1943
Horspath/H71, 6, 12.9398
Horspath/H71, 8, 13.057
Horspath/H71, 10, 8.68022
Horspath/H71, 12, 13.6512
Horspath/H71, 14, 12.2263
Horspath/H71, 16, 118.535
Horspath/H71, 18, 79.0998
Horspath/H71, 20, 65.6778
Horspath/H71, 22, 21.6397
Horspath/H71, 24, 20.0326
Horspath/H71, 26, 20.0899
Horspath/H71, 28, 11.7353
Horspath/H71, 30, 8.869
Horspath/H71, 32, 12.4278
Horspath/H71, 34, 14.1911
Weston/H23, 0, 39.1373
Weston/H23, 2, 20.8269
Weston/H23, 4, 9.35589
Weston/H23, 6, 8.55306
Weston/H23, 8, 7.95826
Weston/H23, 10, 6.39321
Weston/H23, 12, 6.65295
Weston/H23, 14, 6.97118
Weston/H31, 0, 11.155
Weston/H31, 2, 7.7292
Weston/H31, 4, 8.85709
Weston/H31, 6, 8.4975
Weston/H31, 8, 5.96346
Weston/H31, 10, 6.36041
Weston/H31, 12, 6.61958
Weston/H31, 14, 6.66973
Weston/H32, 0, 26.555
Weston/H32, 2, 18.4827
Weston/H32, 4, 6.61149
Weston/H32, 6, 5.82255
Weston/H32, 8, 6.52301
Weston/H32, 10, 5.29074
Weston/H32, 12, 4.62642
Weston/H32, 14, 4.89868
Weston/H32, 16, 16.0976
Weston/H32, 18, 20.4621
Weston/H32, 20, 50.6687
Weston/H32, 22, 24.4713
Weston/H32, 24, 12.4008
Weston/H32, 26, 6.09682
Weston/H32, 28, 5.23083
Weston/H32, 30, 5.08214
Weston/H32, 32, 5.07954
Weston/H32, 34, 4.96737
Weston/H34, 0, 16.3552
Weston/H34, 2, 15.3684
Weston/H34, 4, 4.07474
Weston/H34, 6, 4.14411
Weston/H34, 8, 4.03877
Weston/H34, 10, 4.36279
Weston/H34, 12, 7.31027
Weston/H34, 14, 7.6843
Weston/H34, 16, 6.23191
Weston/H34, 18, 8.95232
Weston/H34, 20, 15.6881
Weston/H34, 22, 20.1368
Weston/H34, 24, 3.70264
Weston/H34, 26, 5.21912
Weston/H34, 28, 4.94721
Weston/H34, 30, 4.00779
Weston/H34, 32, 7.31752
Weston/H34, 34, 9.57527
Weston/H36, 0, 49.926
Weston/H36, 2, 17.2321
Weston/H36, 4, 7.25176
Weston/H36, 6, 7.33555
Weston/H36, 8, 7.50641
Weston/H36, 10, 7.23959
Weston/H36, 12, 6.4301
Weston/H36, 14, 6.76919
Weston/H36, 16, 34.6269
Weston/H36, 18, 39.0757
Weston/H36, 20, 41.8914
Weston/H36, 22, 16.3544
Weston/H36, 24, 7.0371
Weston/H36, 26, 6.08392
Weston/H36, 28, 6.49123
Weston/H36, 30, 409.68
Weston/H36, 32, 407.151
Weston/H36, 34, 5.42053
Weston/H50, 0, 23.8407
Weston/H50, 2, 22.3002
Weston/H50, 4, 9.45532
Weston/H50, 6, 7.93349
Weston/H50, 8, 15.1597
Weston/H50, 10, 14.1779
Weston/H50, 12, 7.37501
Weston/H50, 14, 5.19626
Weston/H50, 16, 621.383
Weston/H50, 18, 1451.42
Weston/H50, 20, 1175.84
Weston/H50, 22, 1987.37
Weston/H50, 24, 9.39895
Weston/H50, 26, 7.76205
Weston/H50, 28, 13.7155
Weston/H50, 30, 13.2369
Weston/H50, 32, 5.9171
Weston/H50, 34, 4.84493
Weston/H58, 0, 49.2617
Weston/H58, 2, 10.8657
Weston/H58, 4, 6.66075
Weston/H58, 6, 6.21646
Weston/H58, 8, 6.83439
Weston/H58, 10, 9.03218
Weston/H58, 12, 7.27809
Weston/H58, 14, 9.04551
Weston/H58, 16, 49.0737
Weston/H58, 18, 112.507
Weston/H58, 20, 3067.56
Weston/H58, 22, 2948.25
Weston/H58, 24, 5.81891
Weston/H58, 26, 4.20385
Weston/H58, 28, 5.29075
Weston/H58, 30, 5.0066
Weston/H58, 32, 6.84429
Weston/H58, 34, 7.40401
Weston/H58, 36, 5.18062
Weston/H62, 0, 94.9226
Weston/H62, 2, 93.9385
Weston/H62, 4, 19.5158
Weston/H62, 6, 6.68031
Weston/H62, 8, 6.75488
Weston/H62, 10, 5.50717
Weston/H62, 12, 4.88359
Weston/H62, 14, 5.14372
